Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20220411,-1.54,0.62,1.06,0.44,0.06,0.001
20220412,-0.29,0.57,0.46,-0.26,1.05,0.001
20220413,1.4,0.62,-0.7,-1,0.02,0.001
20220414,-1.28,0.32,1.41,0.18,0.94,0.001
20220418,-0.21,-0.57,1.81,0.76,0.63,0.001
20220419,1.77,0.4,-0.94,0.54,-1.27,0.001
20220420,-0.28,0.48,1.26,0.76,1.13,0.001
20220421,-1.76,-0.55,0.38,1.75,0.4,0.001
20220422,-2.74,0.26,-0.17,-0.12,-0.22,0.001
20220425,0.71,0.12,-1.84,0.11,-1.06,0.001
20220426,-3,-0.36,1.78,0.23,1.22,0.001
20220427,0.12,-0.57,0.35,0.15,0.8,0.001
20220428,2.44,-0.51,-0.44,0.46,0.09,0.001
20220429,-3.53,0.87,0.59,-0.24,0.66,0.001
20220502,0.8,0.39,-1.15,-0.62,-1.34,0.001
20220503,0.41,0.15,1.64,0,1.15,0.001
20220504,3,-0.53,0.34,0.07,0.07,0.001
20220505,-3.8,-0.25,2.37,0.61,1.17,0.001
20220506,-0.85,-1.02,1.79,1.01,1.36,0.001
20220509,-3.54,-0.03,1.31,4.21,-0.3,0.001
20220510,0.2,-0.49,-1.24,-0.66,0.31,0.001
20220511,-1.95,-0.59,2.59,0.7,0.95,0.001
20220512,0.17,1.21,-1.24,-0.37,-1.1,0.001
20220513,2.76,0.37,-2.16,-2.13,-0.69,0.001
20220516,-0.6,0.09,1.34,0.19,1.33,0.001
20220517,2.15,0.94,-0.04,-0.69,-0.32,0.001
20220518,-4.04,0.46,1.54,-0.54,0.35,0.001
20220519,-0.34,0.39,-0.77,-1.19,-0.86,0.001
20220520,-0.05,-0.13,-0.19,-0.11,0.16,0.001
20220523,1.74,-0.93,1.32,-0.03,1.02,0.001
20220524,-1.23,-0.48,1.85,1.43,1.14,0.001
20220525,1.22,0.75,0.2,-0.56,0.01,0.001
20220526,2.18,0.01,-0.59,-0.14,-0.31,0.001
20220527,2.58,0.01,-1.24,-0.63,-0.26,0.001
20220531,-0.71,-0.37,0.4,0.78,-0.24,0.001
20220601,-0.75,0.25,0.72,-0.24,1.08,0.003
20220602,2.09,0.41,-2.05,-0.43,-1.49,0.003
20220603,-1.63,1.02,0.52,-0.8,0.45,0.003
20220606,0.33,0.04,0.69,0.5,0.18,0.003
20220607,0.99,0.19,-0.15,-1.58,0.66,0.003
20220608,-1.02,-0.26,-0.54,-0.69,-0.24,0.003
20220609,-2.44,0.45,0.24,0.86,0.15,0.003
20220610,-3,0.27,0.62,0.31,0.5,0.003
20220613,-4.13,-0.46,0.61,1.7,-0.36,0.003
20220614,-0.25,0.1,0.13,0.12,0.04,0.003
